uttar pradesh,,,,,,,
SN,title,organisation,ref_no,status_update_date,company_name,bid_amount,result_bid_value
50,"Supply for water cooler in Nagar Panchayat office Sirauli, Supply for water cooler in police station",urban development department,GEM/2023/B/3968983,25 September 2023,U S GROUP,,1066500
51,supply & fixing of 9mtr. long octagonal poles with street light Ahilyabai chowk to Police chowki,urban development department,GEM/2023/B/3845690,02 September 2023,SHRI RAM TECHNOLOGIES,2593940,2593940
52,"construction of side wall near over head water tank at police line bijnour premises, construction of",police department,GEM/2022/B/2684291,08 November 2022,IMRAN AHMAD CONTRACTAR,1032800,438300
53,Custom Bid for Services- Hiring of 01 No Bolero Jeep Non AC for Police Chowki Kohdar for the perio,ministry of power,GEM/2024/B/4806944,08 April 2024,D V INFOCOM,478800,478800
54,"ROOF WATER PROOFING WORK OF SARASWATI BARAK PART 6 IN POLICE LINE CAMPUS, PLUMBERING PAINTING WIRING",home department uttar pradesh uttar pradesh police gorakhpur zone gorakhpur,GEM/2024/B/4548868,09 February 2024,SURESH PRASAD TIWARI,,2755000
55,"entertainment hall fall ceiling and pvc wall work at primes of police line banda, painting work at e",home department uttar pradesh uttar pradesh police adg zone office,GEM/2023/B/3170748,04 March 2023,BABA TRADERS,,52500
56,"SMALL HOUSE, POLICE STATION, TEMPLE, BANKER, CHIMINI, WATER TANK, STAND WATCH, VIEW POINT, BRIEFING BOARD, D",indian army,GEM/2024/B/5493876,31 October 2024,ISHITA ENTERPRISES,242000,242000
57,"Regimental Police Shash, ACP Board No Drone Zone, ACP Board Advisory, ACP BOARD 6ft by 4 ft with Iron",ministry of defence,GEM/2023/B/4389801,02 January 2024,DRS Enterprises,113000,97000
58,"Iron Garter 10 Feet Length, Iron Pipe Net 14 By 3 Feet, MONOGRAM UP POLICE WITH THE ASHOK SYMBOL 2 BY",home department uttar pradesh uttar pradesh police gorakhpur zone gorakhpur,GEM/2023/B/3326102,15 April 2023,M/S BABA NEEMKARAULI INFOTECH AND GENERAL ORDER SUPPLIER,76000,56000
59,"Laying and Jointing, RICE MANSOORI THIN, WHEAT FLOUR FRESH, RAVA, ARHAR DAL FOOL WITHOUT POLICE, URAD DA",secondary education,GEM/2023/B/3316680,08 April 2023,MAHI TRADERS,25299,24370
60,"g p list register, gaurd uniform register, police line register, d grade staff register, uniform nomina",home department uttar pradesh uttar pradesh police adg zone office,GEM/2023/B/3210546,13 March 2023,BABA TRADERS,427084,350193
61,"Chair, Police Car, Caterliller, Bull Tunnel, Gate Extension, Soft Play, Jumbo ball pool, Elephant Site, Eva",ministry of defence,GEM/2023/B/3082837,15 February 2023,CREATE NEW ENTERPRISES,,175944
62,"Chawal Mahin, Wheat Flour, Wheat Flour Chakki ka, Arhar Dal Fool wali without police, Urad Daal Chilka",education department,GEM/2024/B/4687006,24 June 2024,JAI AMBEY TRADERS,,100579
63,"RICE MANSOORI THIN, WHEAT FLOUR FRESH WASHED WATER, RAVA RAVA, ARHAR DAL FOOL WITHOUT POLICE, URAD DAL,",secondary education,GEM/2024/B/4629701,24 February 2024,MAHI TRADERS,82193,82193
64,"Chawal Mansuri, Wheat Flour, Wheat Flour Chakki ka, Arhar Dal Fool wali without police, Urad Daal Chilk",basic education department uttar pradesh,GEM/2022/B/2143025,27 May 2022,SINGH CATTERS AND SUPPLIERS,110600,104292
65,Result For drive shaft main bearing big bearing matching setting radiator cleaning flushing policing turvo charger works sevice valve guide fitting & setting pin block sleeve fitting setting reboring valve grinding laping crank shaft grinding and policing machine job vane pump came shaft grinding rocker arm grainding & policing piston head testing fly wheel turning roller out repair works fip/ injectors overhauling radiator cleaning & flushing head valve seat cutting fitting governor shaft rocker arm grainding policing head valve seat cutting & fitting pump service out works fip injectors overhauling crank shaft grinding policing cameplate came shaft grinding & valve guide fitting setting block sleeve fitting setting and reboring valve grinding & laping service kit main bearing & big and bearing matching and setting connecting road bush setting turvo charger repair works & sevice piston top checking,indo tibetan border police,"GEM/2021/B/1795701, GEM/2022/R/79494",11 January 2022,M/S UTKANTHA MOTORS,34125,32558
66,"Result For Repair, Maintenance, and Installation of Plant/, Systems/ Equipments, Version 2- Namisarayan me, dadheech kund gate se mansoori auto mobile hote hue, khiladi set ke peeche se ward no 21 me chandrpur me;, Electrical System or Installation; Buyer, and Installation of Plant/ Systems/ Equipments, Version 2- Namaisarayan ward no 11 pachim bala ji, mandir se police chauki hote hue sahkari samiti se, dayashankar and kuldeep ke ghr tak; Electrical System or, Installation; Buyer, and Installation of, Plant/ Systems/ Equipments, ward no 25 dachid modi bhavan tiraha se sanskrit vidyala, hote hue hanuman gadi and chakteerth ke samne sulabh, sauchalay ke pass se shree gopal mandir tak.., Version 2- namisarayan me ward no 1, 2 and 4 seetakund, gate chaurahe se sarojni medical and bharat gas and bharat, gas agency and sbi gas hospital chauraha and dadheech, gate tak; El..",revenue department,GEM/2025/B/6202970,22 May 2025,M/S Kamal Verma Thekedar,6258000,6258000
67,"Result For Manpower Outsourcing Services- Fixed Remuneration-, District Mission Coordinator; District Mission Coordinator;, Graduate, Manpower Outsourcing Services- Fixed, Remuneration- Gender Specialist; Gender Specialist;, Remuneration- Specialist in Financial Literacy Pradhan, Mantri Matra Vandana YojanaPMMVYUnder; Specialist in, Financial Literacy Pradhan Mantri Matra Vandana, YojanaPMMVYUnder; Post Graduate, Manpower Outsourcing, Services- Fixed Remuneration- Account Assistant; Account, Assistant; Graduate, Manpower Outsourcing Services-, Fixed Remuneration- Data entry operator DEO Pradhan, Mantri Matra Vandana YojanaPMMVYUnder; Data entry, operator DEO Pradhan Mantri Matra Vandana, YojanaPMMVYUnder; Graduate, Services- Fixed Remuneration- Multi task staff MTS; Multi, task staff MTS; High School, Services- Fixed Remuneration- Counsellor; Counsellor;, Remuneration- Social Worker for Juvenile Police; Social, Worker for Juvenile Police; Graduate, Manpower, Outsourcing Services- Fixed Remuneration- Data Analyst;, Data Analyst; Graduate, Fixed Remuneration- Assistant cum Data Entry Operator;, Assistant cum Data Entry Operator; Secondary School, Outreach Worker; Outreach Worker; Secondary School, Centre Administrator; Centre Administrator; Post Graduate, Psycho Social Counsellor; Psycho Social Counsellor;, Remuneration- Case Worker; Case Worker; Graduate, Paramedical Personnel; Paramedical Personnel; Graduate, Office Assistant having adequate knowledge of computer, operation; Office Assistant having adequate knowledge of, computer operation; Graduate, Services- Fixed Remuneration- Multipurpose Staff Cook;, Multipurpose Staff Cook; High School, Outsourcing Services- Fixed Remuneration- Security, GuardNight Guard; Security GuardNight Guard; High School, Project Coordinator; Project Coordinator; Post Graduate, Child helpline supervisor; Child helpline supervisor;, Remuneration- Case Worker; Case Worker; Secondary, School, Remuneration- Manager Coordinator; Manager Coordinator;, Post Graduate, Remuneration- Nurse; Nurse; Secondary School, Outsourcing Services- Fixed Remuneration- Aaya; Aaya;, High School, Remuneration- Chowkidar; Chowkidar; High School",welfare department,GEM/2025/B/5996084,07 March 2025,MAINWIRE OUTSOURCE PRIVATE LIMITED,,27650232
