Andhra Pradesh Police,,,
SN,item,count,ref_nos
108,developement of nro at mancherial police station mancherial district warangal do tapso,1,TAPSO/ENG/LT/44/18-19
109,national police academy,3,"26011/104/2015-16/HS-OM, 15011/1/2016-17/HS-Vety, 30011/04/2016-17/HS.SG (I)"
110,procurement of veterinary medicines for sardar vallabhbhai patel,1,15011/1/2016-17/HS-Vety
111,construction of multipurpose hall at police kalyanamandapam in guntur town of guntur district,1,"Tender Notice  No. 60/2016-17, Dt: 28-02-2017"
112,modification of police guest house ( ground floor ) at kurnool of kurnool district,1,T036/2018-19
113,stages for vinayaka nimmajanam at vinayaka sangam,1,"220/TPT/18-19/GEN/TO, DT. 29-08-2018"
114,providing barricading,1,"220/TPT/18-19/GEN/TO, DT. 29-08-2018"
115,police towers,1,"220/TPT/18-19/GEN/TO, DT. 29-08-2018"
116,laying cc pavement at 5th town police station in ward no. 41,1,S.T No.16/2016-17/EE-IV/Dt: 22-06-1( Item No.3)
117,providing bt road from collectorate office to police kalayanamandapam in 25th division.,1,267/SCSP/2016-17
118,supply of chlorinated rubber paint of 1400lts for traffic use to police department,1,T.N.No. 01/2018-19/EE-III/DB/Dt: 06-04-2018
119,vijayawada of krishna district.,1,A118/2017-18
120,construction of model police station building at bhavanipuram,1,A118/2017-18
121,repairs to crime police station building at ii town of visakhapatnam city,1,59/EE-I/PHC/VSP/2018-19
122,construction of model police station building at mvp colony of visakhapatnam dist,1,A97/2017-18
123,estimate for development of landscape work bandar canal at krishnalanka police station,1,E-Procurement Notice No.32/VMC-Engg/CDB/AE/ 2017-18/Rc.H2-138370/2017.
124,providing cc road at police colony in ward no. 21 under scsp grant,1,MC/NDL/SCSP No. 125/2016-17
125,supply of breath alcohol analysers to traffic police in ongole municipal corporation,1,"500/2017-18, Dt.24.06.2017"
126,repairs to the anganwadi building beside arilova police station in w. no. 1,1,17/2017-18/EE-I(Works)/DB/Item-03
127,construction of model police station building at kuppam of chittoor dist- stn,1,A223/2016-17
128,repairs to police station building at medikonduru of guntur district ( 2nd call ),1,"Short TN.No.41/2016-17, Dt. 28-06-2016"
129,repairs to the existing bt road near police barracks in ward no. 26,1,Sh.T.No.54/2017-18/EE-III(W)/DB Dt.08-01-2017
130,construction of fortified police station building at g. madugula of visakhapatnam district,1,A322/2018-19
131,construction of ii- town police station building at srikalahasthi of chittoor district.,1,A245/2018-19
132,construction of model police station building at kurnool taluk of kurnool district,1,A94/2017-18
133,construction of police station building at m. r. peta of visakhapatnam city.,1,A158/2018-19
134,construction of model police station building at tiruchanur of tirupati urban district.,1,A96/2017-18
135,modification of s. b. i,1,E1/3035/2016
136,tso rooms to police out post room,1,E1/3035/2016
137,construction of model police station building at nellore rural of spsr district,1,A90/2017-18
138,urgent repairs to superintendent of police bungalow at rajamahendravaram urban of eg district,1,"Short TN No. 122/2016-17, Dt: 27-02-2017"
139,construction of model police station building at sathenapalli of guntur district- stn,1,A224/2016-17
140,construction of model police station building at amalapuram of east godavari district.,1,A114/2017-18
141,construction of police station building at inavolu of warangal district ( 2nd call ),1,T111/2018-19
142,machilipatnam of krishna district.,1,A105/2017 18
143,construction of model police station building at chilakalapudi,3,"Tender Notice No. 116/2017-18, Dt: 29-01-2018, Tender Notice No. 117/2017-18, Dt: 29-01-2018, A105/2017 18"
144,construction of iv town police station building at ananthapuramu of ananthapuramu dist,1,A86/2016-17
145,construction of police station building at chilkur of nalgonda district ( 2nd call ),1,T21/2018-19
146,laying of cc pavement in gajuwaka police station complex in ward no 60.,1,T.No.03/2018-19/SE(W)/EE-V/DB Dt.25-04-2018 (Item-03)
147,armo various electrical installations  mechanical equipments at saraswati vihar police station  police colony under ae e m3521 sh repair replacement of pumps ic control panel,1,323  of 2015-16/PWD EMD M-352
148,drain & pitching to the newly constructed police quarters under police gruha 2020 phase- iii scheme,1,PHC/CNT/MNG/TND/30/2018-19/WI-823
149,construction of retaining wall,3,"PHC/CNT/MNG/TND/30/2018-19/WI-823, S.T.No: 30/2016-17/SE (W)/E.E-IV/DB/Dt: 10-08-16 (Item No: 10), S.T.No: 30/2016-17/SE (W)/E.E-IV/DB/Dt: 10-08-2016 (Item No: 09)"
150,puttur taluk in d. k. district.,1,PHC/CNT/MNG/TND/30/2018-19/WI-823
151,samathadka,1,PHC/CNT/MNG/TND/30/2018-19/WI-823
152,compound wall,1,PHC/CNT/MNG/TND/30/2018-19/WI-823
153,ongole of prakasam district,2,"Short Tender No: 30/2018-19/ Dt: 02-03-2019, Short TN.No.30/2016-17, Dt. 24-06-2016"
154,execution of office furniture like partitions,8,"Short Tender No: 86/2017-18/ Dt: 22-02-2018, Short Tender No: 71/2017-18/ Dt: 16-02-2018, Short Tender No: 30/2018-19/ Dt: 02-03-2019, Short Tender No: 87/2017-18/ Dt: 22-02-2018, Short Tender No: 72/2017-18/ Dt: 16-02-2018, Short Tender No: 74/2017-18/ Dt: 16-02-2018, Short Tender No: 91/2017-18/ Dt: 24-02-2018, Short Tender No: 88/2017-18/ Dt: 22-02-2018"
155,work stations etc.,9,"Short Tender No: 92/2017-18/ Dt: 24-02-2018, Short Tender No: 86/2017-18/ Dt: 22-02-2018, Short Tender No: 71/2017-18/ Dt: 16-02-2018, Short Tender No: 30/2018-19/ Dt: 02-03-2019, Short Tender No: 87/2017-18/ Dt: 22-02-2018, Short Tender No: 72/2017-18/ Dt: 16-02-2018, Short Tender No: 74/2017-18/ Dt: 16-02-2018, Short Tender No: 91/2017-18/ Dt: 24-02-2018, Short Tender No: 88/2017-18/ Dt: 22-02-2018"
156,at model police station building ( ground floor & first floor ) at police parade ground,1,Short Tender No: 30/2018-19/ Dt: 02-03-2019
157,construction of police chowki in front of a- 1 furniture shop in ward no. 21 ( b ).,1,TMC/PRO/PWD-NAU/1689/2019-20
158,protective mask cm- 6,2,"GEM/2024/B/4925021, GEM/2024/R/364571, GEM/2024/B/4925021"
159,advanced canister ( a2b2e2k2hgnocosxp3dr ),2,"GEM/2024/B/4925021, GEM/2024/R/364571, GEM/2024/B/4925021"
160,police filter canister,2,"GEM/2024/B/4925021, GEM/2024/R/364571, GEM/2024/B/4925021"
161,providing gym equipments at naupada police station area in ward no. 21 ( d ),1,TMC/PRO/PWD/NKWC/944/2020-21
162,renewing of bt road from harbour police station to convent junction in port area.,1,"IENG/CP/ EE(East) /T /07, dt.09.04.2021"
163,supply of dry ration at 56th bn itb police,1,NO.ITBP/56BN/E-TEN/21-371-76 DT.01.06.21
164,visakhapatnam ( a. p ),1,NO.ITBP/56BN/E-TEN/21-371-76 DT.01.06.21
165,pandakpaka,1,NO.ITBP/56BN/E-TEN/21-371-76 DT.01.06.21
166,lowering,1,Outward No. MCM/WS/1357/2017
167,laying,1,Outward No. MCM/WS/1357/2017
168,providing,11,"GM(PPR)/Civil/E-tender/2025-26 /100, TMC/PRO/PWD/NKPS/1000/2020-21, GM(PPR)/Civil/E-tender/2025-26 /90, EE/City/MSIB / e-tender/Labour Soc. / 40 / 2019-2, PO/PND/EnM/e-NIT/2022-23/ 21, 51/PWD M-312/2012-13, Outward No. MCM/WS/1357/2017, PO(AK)/PE(EnM)/e-NIT/22-23/128, TMC/PRO/PWD/NKWC/895/2020-21, NO/ITBP/25TH BN/ENGR/TENDER/18-19/6377C, KDMC/PWD/2015-16/186-6"
169,jointing pvc pipeline in malkapur city police station,1,Outward No. MCM/WS/1357/2017
170,improvements to pozhiyoor police station tekke pazhavanchala- pazhavanchala road in kulathoor panchayath.,1,07/EE/2017-18/S
171,development of new retail outlet at chittoor police training premises under tirupathi do of tapso,1,TAPSO/ENG/LT/040/2016-17
172,installation of almirahs,1,18011/5/2016-17/HS.Furniture
173,cupboards at newly ri line of the national police academy.,1,18011/5/2016-17/HS.Furniture
174,supply of shuttle cocks to sardar vallabhbhai patel,1,30011/04/2016-17/HS.SG (I)
175,supply of various misc/ expendable items of svp national police academy,1,34011/02/2016-17/HS.Misc
176,procurement of 10 biometric units for sardar vallabhbhai patel,1,26011/104/2015-16/HS-OM
177,proposed laying of interlocking near old police station in puttur cmc limits.,1,DMA/2015-16/OW/WORK_INDENT40931
178,supplying steel barricates to ramnagar traffic police station in dombivli(east).,1,KDMC/PWD/2015-16/186-6
179,construction of kitchen shed toilets at dist police office in khammam municipal corporation,1,"DB/KMC/1907/Notice-V/MP LADS/2014/9, Dt. 23 -06-2014"
180,construction of model police station building at chebrolu of guntur district- 2nd call.,1,A169/2017-18
181,providing ugd sewer line to the camp of commissioner of police under ae- 15 section.,1,17/18-19/EE-I(WSM)/DB/Dt:12-12-2018 (Item No.5)
182,construction of model police station building at ii town vizianagaram of vizianagaram district.,1,A169/2018-19
183,repairs to 1 ) police badi 2 ) pedapeta up school in gudivada municipality,1,152/Gen/GDV/2017-18
184,maintenance,3,"152/Gen/GDV/2017-18, 2325/4/2016/E1, PE(EnM)/Pnd/NIT/2020-21/112"
185,construction of cc disposal drain at police colony in division no. 28. under 13th fcg.,1,"NIT No.96/NMC/DB/13th FCG/2016-17, Dt:26.05.2016"
186,14th fcg- laying of pipe line from police station to meeseva in 3rd ward,1,24-2016-17 E1
187,construction of model police station building at vizianagaram of vizianagaram dist- 2nd call,1,A262/2017-18
188,development of park site police colony in division no. 31 of nellore municipal corporation.,1,"NIT No. 882/DB/MCN/GEN/2018-19, Dt: 13.11.2018"
189,urgent repairs to additional superintendent of police quarter in the forest,1,"NIT.NO.48/JTO.2/KNL/2017-18,Dt:19-04-2017"
190,fisheries compound at kurnool.,1,"NIT.NO.48/JTO.2/KNL/2017-18,Dt:19-04-2017"
191,construction of police station building at old town guntur of guntur district- stn,1,A137/2016-17
192,construction of model police station building at airport ( renigunta ),1,A104/2017-18
193,tirupati of chittoor district.,1,A104/2017-18
194,construction of compound wall at police station building at peravalli of west godavari district,1,"Short TN No. 01/2017-18, Dt: 26-04-2017"
195,repairs to ii town police station building ( ground floor ) at visakhapatnam city,1,59/EE/PHC/VSP-I/2018-19
196,extension of parade ground retaining wall at district police training centre of kurnool,1,T039/2017-18
197,constrution of compound wall around camp office of commissioner of police in visakhapatnam city,1,62/EE-I/APSPHCL/VSP/2018-19
198,refurbishment of scrap park sculputure park opp to police control room vijayawada,1,"/CTO,ADC/(2) dt.02.02.2017"
199,seethammavari padalu during dasara festival- 2018,1,NIT NO 08/ ENG 18-19
200,providing showerbath arrangements at police quarters,1,NIT NO 08/ ENG 18-19
201,development of soft landscape works at camp office gardens of commissioner of police,1,"Tender Notice No.33/2018-19/EE(PL&C)/GVMC, Dt:18-02-2019"
202,visakhapatnam.,1,"Tender Notice No.33/2018-19/EE(PL&C)/GVMC, Dt:18-02-2019"
203,repairs to police commissioner camp office buidling in pedawaltair road in ward no 16,1,Tender Notice No.48/2018-19/SE-II/EE-II/DB/Dated: 28-11-18 ( Item No-3)1st  call
204,providing drinking water facilities from etcherla cpws scheme to etcherla police quarters,1,T.N.no.07/1/2017-18 dated 18.08.17
205,construction of police station building at jammalamadugu of y. s. r kadapa district,1,A240/2018-19
206,construction of model police station building at anakapalli of visakapatnam district ( 2nd call ),1,A196/2017-18
207,construction of model police station building at i- town kadapa of kadapa district,1,A100/2017-18
208,beautification of police control room island in circle- 3 area. ( pushkaram funds ),1,E-procurement Notice CE No.25/VMC-Engg/CDB/AE/2016-17/Rc.H1-132034/2016
209,providing cement concrete road from police quarters to suryanarayanapuram culvert in 5th ward,1,"758-88/2017-E1, Dt.05.01.2018"
210,vijayawada of krishna district- stn,1,A135/2016-17
211,construction of police station building at krishna lanka,1,A135/2016-17
212,: providing women well fare building at ap reserve police quarters etcherla,1,Ct No. 11/2018-19 Dt: 07.12.2018
213,construction of police station building at peddamudium of y. s. r kadapa district,1,A241/2018-19
214,construction of cc drain from triveni junction to police trimurthulu house in 19th ward,1,49/22/2017/E1
215,install,1,GEM/2025/B/6010073
216,maintenance of integrated security solution for edge devices to ap police dept.,1,GEM/2025/B/6010073
217,purchasing of dry ration items for grain shop at rtc kimin itb police ( ap ),1,ITBP/RTC KIMIN/Grain Shop/2023-2048 dtd 03-06-2023
218,cleaning of culvert,1,PO/RH/e-Tender/33/21-22/1963
219,school under rohini project,1,PO/RH/e-Tender/33/21-22/1963
220,drain behind police picket,1,PO/RH/e-Tender/33/21-22/1963
221,fixing gym equipment at naupada police sation area in ward no. 21 b..,1,TMC/PRO/PWD/NKPS/1000/2020-21
222,providing painting to divider,1,Rc.No.E11-101040/2020
223,footpaths in eluru road from ramavarappadu ring to police control room,1,Rc.No.E11-101040/2020
224,police station in yerpedu of yerpedu mandal,1,"8(1)/DM/2019-20, Dt.22-08-2019"
225,construction of two waiting halls at thahsildar office,1,"8(1)/DM/2019-20, Dt.22-08-2019"
226,police barracks road at vijayawada airport,1,AAI/BZ/ENGG (E)/A.G.M(E-E)/NIT-15/2018-19
227,provision of street lights for nitb to itb road,1,AAI/BZ/ENGG (E)/A.G.M(E-E)/NIT-15/2018-19
228,04 inflatable rescue boat with obm to ap police,1,STC/HYD/GID/2018-19/03
229,tender for supply of 01 amphibious craft,1,STC/HYD/GID/2018-19/03
230,construction of barrack for state police security staffs including electrical works at rajahmundry airport,1,AAI/RJY/ENGG(C)/BARRACK/17-18
231,construction of park inside police colony at n4 area irc village in ward no.25,1,BMC-EED-I-04/2017-18 Dt. 10.7.2017
232,construction of cement concrete pavement road  near police station shantinagar in p no 16 a,1,24-2016/E.E.Z-7
233,supply of saddlery,1,25011/1/2016-17/HS-Sadd.
234,miscellaneous items for sardar vallabhbhai patel national police academy,1,25011/1/2016-17/HS-Sadd.
235,delivery,4,"493/TPT/GEN/16-17/TO,Dt:03-12-2016., T.No.03/2018-19/SE(W)/EE-V/DB Dt.25-04-2018 (Item-07), 72/ADN/Mplty/Genl Funds/2016-17, T.No.51/2017-18/SE(W)/EE-III(W)/DB Dt.20-12-2017(Item-05)"
236,manufacture,2,"493/TPT/GEN/16-17/TO,Dt:03-12-2016., T.No.51/2017-18/SE(W)/EE-III(W)/DB Dt.20-12-2017(Item-05)"
237,installation of moduler toilet near mr palli police station,1,"493/TPT/GEN/16-17/TO,Dt:03-12-2016."
238,restoration of koneru near police station in rajupalem village in rajupalem mandal of ysr district,1,"04/2018-19, Dt. 16.07.2018"
239,construction of residence for deputy commissioner of police in 4th floor at visakhapatnam city ( 2nd call ),1,A123/2018-19
240,construction of cc storm water drain in prakasam road from police quarters to taxi stand,1,"34/2017-18/Tuni Mplty/general Funds/E1, dt.27-09-2017"
241,providing internal pipe line besides barracks at district police training centre of kurnool,1,T038/2017-18
242,construction c. c pavement in police quarters from 200- 275 mts in division no. 45,1,"344/2016-17, dt.9.9.16"
243,repairs to community toilets in police lane street,1,2325/4/2016/E1
244,9th ward in tanuku municipality,2,"2325/4/2016/E1, 601/4/2016/E1"
245,laying of cc road east side street of police quarters at fathakhanpeta in division no. 39,1,"NIT No. 17/MCN/DB/GEN/2017-18, Dt.12.04.2017"
246,construction of guard room,1,A36 2016-17
247,urgent requirements to superintendent of police camp office in chittoor town.,1,A36 2016-17
248,repairs to the fountain at ntr statue island near one town traffic police station,1,"ET No.120/2017-18, Item No.14"
249,providing of cc road from raja reddy street to police line road in 23rd division.,1,486/SCSP/ATO/MCK
250,providing cc road at rk police colony of palasa- kasibugga municipality with general funds,1,36/2017/E1-189
251,vakadu mandal of spsr nellore district.,1,Short Tender No: 18/2018-19/ Dt: 03-01-2019
252,repairs to the marine police station building at duggarajapatnam,1,Short Tender No: 18/2018-19/ Dt: 03-01-2019
253,removal of wet silt from mr palli police station to kesavayanagunta in ward no. 14 & 19.,1,"58/TPT/17-18/GEN/TO,Dt:-22-08-2017"
254,construction of police station complex with acp office acp office at arilova in visakhapatnam city.,1,A113/2018-19
255,providing internal pipeline,1,"TO/10/2018-19, dt : 09.11.2018"
256,distribution system around district police training college,1,"TO/10/2018-19, dt : 09.11.2018"
257,kurnool,2,"NIT NO. 65/2017-2018   Dt. 13.03.2018, TO/10/2018-19, dt : 09.11.2018"
