MP Police,,
item,count,ref_nos
toilet for ladies fir room at thana antri distt gwalior,1,30/2018-19
window repair,1,8bn/saf/qm/m-5474/2024
7. 2,1,SP(R)/REWA/DISPO/337/2020 DATE-27/08/2020
extra electrification work for constraction of 6f type,1,19/2020-21
establishment,1,Pts/Sagar/open gym /qm/ 1969 /2020
construction of pavillion spectator gallary,1,11/2022-23
boundary wall at model school shahpur boundary wall at model school bhimpur,1,08/2021-22
toilet for ladies fir room ) at sdop sabalgarh distt morena,1,27/2018-19
forest colony homeguard barrack,1,"02/2025-26 (5) Repairing Work of Office Toilet-1, Office Toilet District Commandant-2, Sainik Barrac"
construction of 160 constable qrts. at 32nd bn. s. a. f.,1,NIT 27/2024-25_5
metal box,1,D-386/2023 date 05/01/2024
result for request for proposal for selection of system integratorfor implementation maintenance,1,D-4300/2025 Date 12/03/2025
protienase k,1,No.  FSL /STORE/SB/6C/III/2019
repaire ( including hardware,1,207/2022
sos barrack,2,"03/2025-26, 02/2025-26"
civil construction work at veterinary college campus distt rewa,1,10/2022-23
narmadapuram,1,SP/NDPM/PSTraffic/1024-A/2024
internal electrification work at kushabhau thakre khel parisar,1,NIT 11/2020-21_3
48 qrts at grp line district jabalpur,1,12/2019-20
construction of semi urban thana at tamia distt chhindwara,1,06/2020-21
construction of mahila desk at thana barghat distt seoni,1,14/2018-19/36
paver block work with material,1,1stbn/qm/p-388
2,1,SP/PTS/MT/MOD/194/2024
tender regarding purchasing of dry grass,1,7TH_BN_SAF_BHOPAL/MTD/135/1
gum boots is mark,1,3688/GROUP-2
s,2,"16/2019-20/4, 169H"
construction of mahila desk prithvipur,1,12/2019-20
construction of police chowki at bheer dist rewa,1,03/2020-21
incomplete repairing,1,02/2022-23
paatpala ujjain,1,SP/PTS/UJJAIN/RI/1271-B/19
construction of parking shed,1,10/2024-25/03
bahadurpur district- gwalior.,1,35/2024-25
repairing of gov. residential building of grp police line bicholi hapsi road indore,1,I-1922/17.07.2021
photo identity card making system,1,SB/STORE/2024-25 (522) BHOPAL DATED 05.11.2024
rubbish material ( mulba ),2,"12/2024-25, 04/2024-25"
distt. umaria,6,"06/2022-23 Repairing of govt. Model School Umaria, 17/2023-24 Training Center Building Umaria, 9/2021-22 Repairing work of 16 Constable Umaria, 20/2023-24 Home Guard Umaria, 9/2021-22 Repairing work of 08 Constable Umaria, 11/2020-21 Semi Urban Thana Indwar"
construction of basketball vollyball lawn tenis,1,13/2023-24
construction of 150 bedded civil hospital at ganbasoda dist vidisha.,1,06/2023-24
construction of semi urban thana surpura distt bhind,1,26/2019-20
2h type qtr. chc bankhedhi dist narmadapuram.,1,11/2022-23
repairing work of r. i. office at umaria,1,26/2020-21 Repairing work of R.I. Office at Umaria
construction of semi urban thana at kundipura distt chhindwara,2,"06/2020-21, 03/2019-20/2"
construction of separate room toilet for ladies fir room at thana dehat distt sheopur,1,25/2019-20
repairing work of police thana saikheda,1,1056-A2024
construction of highway chowki bhawan,1,NIT 11/2020-21_2
jiyagaon distt. dewas,1,28/2019-20-2
construction of computer lab pta bhopal,1,63/2018-19
construction of court room at acp office azad nagar indore,1,08/2023-24/2
external painting work done in a line block number 07.,1,8bn/saf/qm/m-5475/2024
painting work at mp state shooting academy bhopal,1,45/2022-23
construction of toilet block at bistan naka stadium distt.,1,06/2023-24/2
renovation work of officer cabin ( st commission ) at rajivgandhi bhawan shyamla hills,1,10/2021-22
gate at thana naisaray distt ashoknagar,1,20/2022-23
mawta distt. ratlam,1,NIT 11/2020-21_1
udaynagar,1,NIT 11/2024-25_1
tent,1,QM/B/4472/24
procurement of various equipment,1,4499
food arrangement for physical selection staff,1,G-2423
repairing renovation work of thana building dehat malanpur umari distt bhind,1,02/2024-25
construction of mahila desk ( fir room ) dharkundhi dist. satna,1,16/2018-19
chapakheda distt. ujjain,1,28/2019-20-1
construction of sdop office khurai,1,47/2018-19
portable device,1,SCPH/STORE/D-627/19 DATED 13/12/19
small construction work at police unit morena,2,"1702/2024/03, 1826/2024/06"
repairing work of doors,1,05/2019-20/1
semi urban thana tejgarh damoh,1,51/2018-19
e tender for constrution,1,SP/NDPM/RI/3699-B/2024
construction of govt hss bhaisaya gadha dist shajapur,1,02/2023-24
special repair work thana devendra nagar panna.,1,12/2022-23
homeguard,3,"13/2023-24/2, 15/2024-25, 13/2023-24/1"
construction of mahila desk at thana chicholi betul,1,18/2018-19
ratlam,13,"06/2019-20-5, NIT 22/2022-23_1, NIT 14/2020-21_7, NIT 13/2020-21_1, NIT 19/2023-24_2, SP/RTM/RI/1829/23, 06/2019-20-4, 17/2018-19, SP/RTM/RI/1888/23, NIT 03/2022-23_1, NIT 08/2023-24_1, NIT 14/2020-21_6, 04/2019-20-3"
sp/ sagar/ ri/ 2232/ 2024,1,SP/SAGAR/RI/2232/2024
construction of g type 2 qtrs at bhander datia,1,23/2018-19
auction for items as per lot a,1,D-14482/2024 date 28/10/2024
work of 33 k. v line shifting at construction of 50 bedded civil hospital,1,35/2022-23
supply of smps,1,F-928-C/2020 Date 14/02/2020
maintenance work of existing police qtrs at radio police line jabalpur,1,10/2020-21
putty work of 96 quarter at police line datia,1,01/2024-25 Date 29-11-2024
training centre petc building at gwalior.,1,02/2022-23
construction of shed near pared ground,1,NIT 32/2024-25_4
putty work,1,01/2024-25 Date 29-11-2024
c1 to c24 railway line satna,1,06/2021-22
various repair work at thana civil line,1,NIT 11/2024-25_3
various reparing work for 4 g. o.,1,11 / 2021 - 22
construction of toilet complex,1,P-1231
community hall ward 66,1,68/2018-19
external electrification works of c. m. awash yojna 24,1,18/2023-24 Electrical C.M. Rise Chindwara
technical unit,1,34/2022-23
construction of drain from petc main gate to main road at petc campus rampur jabalpur,1,25/2022-23
repair work for mahila barrak,1,08/2020-21
different type of microphone/ charger for various hand held wireless sets,1,F-697-B/2020  Date 03-11-2020
satwas distt. dewas,1,28/2018-19
reparing work of residential quarters at chowki kinhi,1,15 / 2020-21
ajk office at vidisha,1,02/2020-21
01 h type qtrs at community helth center saikheda distt narsinghpur,1,11/2019-20
photo video authentication software,1,SCPH/STORE/D-636/2020
laying of paver block at petrol pump pts pachmarhi,1,01/2018-19
flashlight,1,3688/GROUP-3
construction of separate room toilet for ladies fir room at thana ajak distt morena,1,12/2020-21
construction of semi urban thana building sewda dist datia,1,13/2019-20
cctv amc of bhopal vidhan sabha,1,DCP HQ/RK/63 DT 08/12/2023
all in one alcolizer ),1,No/PHQ/15/GPC/4579-1/2022
result for equipments for chemistry lab of ratlam,1,PHQ/15/GPC/1255-2/24
chain link fencing at pts campus,1,17/2020-21
construction of semi urban thana pahadgarh distt morena,1,26/2019-20
construction of chowkey chhoti bajariya bina sagar,1,21/2019-20
construction of semi urban thana building gopalpura shivpuri,1,01/2020-21
repair/ maintenance,1,3914/A/SP/DEWAS/2020/DATE 19.12.2020
thana bajag,1,10/2019-20_5 MAHILA DESK
nepafata ( distt. burhanpur ),2,"13/2021-22/1, 19/2021-22"
construction of community hall at drp line gwalior,1,09/2022-23
dist. betul,1,28/2019-19
result for external electrification work for govt. model higher secondary school,1,40/2023-24
labour charges,1,P-312/22 dated 08-10-2022
2 no. sentry morcha,3,"29/2024-25, 01/2025-26, 26/2024-25"
renovation of zymnesium situated at govt railway police line bhopal,1,SRP/BPL/SUBEDAR/RRP LINE/2016/19 BHOPAL
tender regarding purchasing of x- ray machine,1,530/2023
fsl items ( centrifuges ),1,PHQ/15/GPC/4649-8/2021
fire resistance file cabinets ( frfcs ),1,PHQ/15/GPC/4556-1/2022
fixing of 100 k. v. a. diesel generator with amf penal at 24gos 2bn. saf gwalior,1,01/2020-21
construction work of govt. model higher secondary school ashoknagar ( m. p. ),1,17/2022-23
various construction/ repair works in machhurda outpost,1,13 / 2024-25
old qtrs at proposed community hospital mandleshwar distt.,1,28/2022-23
external painting work for 72 qrts of 6 block at police line,1,NIT 18/2020-21_3
external painting work at qrts. 335 to 342,1,NIT 11/2020-21_6
2 no. barrack at police camp kandla,1,26/2024-25
construction of separate room toilet for ladies fir room at sdop joura distt morena,1,12/2019-20
construction of mahila desk room at thana pipariya dist. hoshangabad,1,02/2020-21
distt. datia,2,"04/2020-21, 24/2020-21"
toxicology lab at rfsl indore,1,03/2021-22/1
construction of 400 meter atheletic running track at mulna stadium balaghat ( m. p. ),1,03/2021-22
residential bulding block- g,1,SP/Ujjain/RI/3410A/2023
construction of mahila desk thana nowgaon 06 others chhatarpur,1,50/2018-19
repair work for dsp office ajk,1,NIT 18/2020-21_6
construction of additional work at sports complex infront of iiitm,1,29/2023-24
shivpuri. 2. roof grading work,1,29/2024-25
external electrification work of i g office rewa,1,19/2021-22
bhimori,1,13 / 2022-23
construction of septic tanks in raisen district,1,07/2020-21
gents laddies toilet at homegrad office dist. hoshangabad,1,24/2018-19
repairing work of acp office of gandhi nagar at indore,1,05/2023-24/6
flooring work at s. p. office ( radio ),1,NIT 14/2020-21_4
chunabhatti,1,17/2021-22
lt line shifting for upgardation 300 to 500 beds hospital at rajgarh.,1,15/2021-22
govt. model h. s. s. chanderi distt. ashoknagar.,1,19/2021-22
thana kirnapur for accomodating coy personnel,1,02/2023-24
1x200 kva transformer with street light ),1,NIT 23/2023-24_2
4,2,"06/2025-26, 16/2021-22"
renovation work of confrence hall ( second floor ) at administrative building e. o. w. bhopal.,1,01/2025-26
construction of mahila desk at thana harai distt chhindwara,1,01/2019-20/7
cap,1,HAWK FORCE/QM/D-621/2020/BALAGHAT DATED 15-12-2020
different type renovation works at distt. khargone ( m. p. ),1,08/2024-25
construction of mahila barrack at homeguard,1,33/2023-24
uvss with anpr driver image camera,1,SB/STORE/2019-25(375 )BHOPAL DATED 26-11-19
construction of 4 plus 10 woman barrack at police line satna,1,10/2023-24
pumps for 8,1,17/2018-19/2
intelligence solution,2,"SB/Store/2019-25(179) Bhopal, DT 01-07-19, SB/STORE/2020-25(190) DT. 22-02-2020"
various section,1,04/2025-26
construction of 16 g. o. qrts. at police line,1,NIT 04/2025-26_1
construction of 2g 2h type qtrs for health department binaganj dist guna,1,04/2019-20
construction of semi urban thana building rithi,2,"01/2020-21 Thana Rithi, 21/2019-20"
salt for horse at jhabua,5,"Etender/42/2022 dated 007-03-2022, 22A/MTD/Jhabua, Dated 11-03-2024, etender/23/2020 dated 18/02/2020, Etender/52/2021 dated 06-03-2021, MTD/28-B/Jhabua, dated 13-03-2023"
4 si qtrs at pts pachmarhi dist narmadapuram,1,01/2024-25
1. construction 2g qtrs. community health center nivas distt. singroli,1,20/2018-19
2 h type qtrs at community health center,7,"12/2021-22 2F,2G,2H Rithi Distt. Katni, 26/2019-20 Panagar, 20/2019-20_5 Barhi, 07/2022-23 2F,2G,2H Type Qtrs. Bahoriband Katni, 20/2019-20_6 Dhanpuri, 20/2019-20_3Umariyapan, 20/2019-20_4 Badwara"
external electrification work of motor driving training,1,16-2024-25
police line nehru nagar at sajag prahari,1,03/2025-26
construction of pre matric boys hostel,1,4
result for construction work of various particulars as per nit,1,SP/RTM/RI/3582/24
bhabra,2,"02/2023-24, 03/2023-24"
washerman shop,1,1STBN/QM/P-2259
20 quarters behind the police hospital located in police line,1,1466
result for block 06 mit police colony mandsaur,1,1795/10.06.2023 BLOCK 06 MIT POLICE COLONY MANDSAU
construction of mahila desk for fir at barwara,2,"19/2018-19_12, 20/2018-19_6"
purchse of genotyping kit for autosomal str markers,1,No.  FSL /STORE/NF/2019
construction of mahila help desk at thana tirodi distt. balaghat,1,15 / 2018-19
result for repairing,2,"08/2022-23, 01/2024-25"
door,8,"NIT 08/2020-21_1, SP/Ujjain/RI/3529H/2023, 02/2021-22 Repairing work of Qtr. No. F-01 to F-12, 112A, 31 / 2024-25, SP/Ujjain/RI/113/2024, 8bn/saf/qm/m-5474/2024, NIT 11/2020-21_6"
other,2,"DCP/HQ/RK/50/24, PHQ/Sec-20/Store/451/2025"
construction of watch tower at basecamp under thana motinala,4,"16/2020-21, 02/2021-22, 01/2021-22, 14/2020-21"
mic system ( pa system ) police commissioner office in meeting hall plasiya,1,DCP/HQ/IND/RI/2682
all in one pc,3,"SB/STORE/2022-25 (302) BHOPAL DATED 18.10.2022, SB/STORE/2022-25(150) BHOPAL DATED 27.04.2022, SB/STORE/2023-25 (213) BHOPAL DATED 3.8.2023"
dismantling work of old building staff quarter,1,11/2024-25
construction of ripitor room at police radio satation distt. dhar,1,04/2024-25/3
pumps at 48 gos quarters at 6th bn ranjhi jabalpur,1,01/2019-20
renovation work of police commissioner camp office at residency area indore,1,DCP/HQ/IND/RI/6239
ngo qtrs 34th bn saf dhar,1,16/2019-20/4
construction work of boundary wall from main gate right side up to 54 meter at pts tighara gwalior,1,25/2021-22
construction of semi urban thana building goverdhan shivpuri,1,07/2020-21
thana shahpura,3,"03/2019-20/9, 10/2019-20_4 MAHILA DESK, 03/2019-20/1"
11 kv line at 37 to 100 bedded hospital narsinghgarh dist. rajgarh ( m. p. ),1,06/2023-24
subedar office,1,"1556/23.05.2023 subedar office,nai room, bend room"
construction of mahila desk at thana chand distt chhindwara,1,20/2018-19
khargone,5,"30/2022-23, 28/2022-23, 10/2023-24/3, 06/2023-24/2, 12/2023-24/4"
thana kuthla,1,03/2019-20/11
repairing work thana building,1,24/2018-19
reparing work at store room,1,14/2023-24
repair work of saf barrack drp line at burhanpur,1,07/2019-20/5
under cm rise school project construction of govt. hss maharaja shivaji rao indore,1,20/2022-23
repairing work at thana ahmadpur district sehore,1,01/2024-25
external electrification work for 100 bedded hospital,1,10/2023-24
truss painting work of store resume ganvesh barrack at police line ujjain,1,SP/Ujjain/RI/3529L/2023
p. t. c. indore,1,16/2020-21
special repair work at policethana building chanderi district ashok nagar,1,43/2022-23
purchasing of cooler for police station,1,635/22 DATE15-06-22
special repair work thana kotwali tikamgarh.,1,12/2022-23
construction of mahila desk ( fir room ) kotwali dist. sidhi,1,16/18-19
construction of highway check post jhurahi mod distt singrouli,1,09/2021-22
09 at 14 bn saf kampoo gwalior,1,12/2020-21
construction of mahila desk ( fir room ) panwar dist rewa,1,16/2018-19
raptcqm183- a,1,RAPTCQM183A
e tender for temporary construction of branches of grp state control room at rrp line bhopal,1,S.R.P/BPL/SUBEDAR/LINE/1664
construction of semi urban thana building shipur,1,08/2019-20_7
repairing work of gym at police line tikamgarh,1,Nit 02/2023-24 Date 08.06.2023
mardari at block manpur distt.- umaria,1,"24/2021-22 Samudayik Bhavan Baskuta, Mardari"
result for water proofing of roof,1,169B
manch paver block work at govt hss deola vihar dist shajapur,1,12/2023-24
501 to 504 at police line shajapur,1,03/2024-25
construction of post matric girls hostel adhartal jabalpur,1,2
construction of sewage treatment plant 50 kld ( stp ) with motor pump for 8go 12ngo 48constable drp line singrouli,1,02/2019-20
24th bn.,1,06/2019-20-7
construction of govt hss excellence school rajgarh,1,06/2021-22
result for outer paint of office building,1,37/2024-25
mandsour ( risk,1,NIT 10/2024-25_1
vehicle tyre tube,1,SB PHQ/MT-CELL/2024/2024 (176) DATED 06.08.2024
ground leveling work at sport stadium vidisha,1,05/2022-23
maksi distt. shajapur,1,12/2019-20-6
late- bath at bhimori mandla ( m.p. ),1,3589/2021
8 qtr thana badodiya,1,01/2024-25
renovation work,4,"26/2022-23, DCP/IND/HQ/RI/4946/24, 18/2022-23/1, 17/2023-24/2"
renovation of existing 55 no police constable quarter at 35th bn. saf campus distt mandla,1,04/2021-22
16 constable quarters at sarai dist singrouli,1,70/2018-19
chowki machurda for accomodating coy personnel,1,01/2023-24
construction of semi urban thana traffic distt ashoknagar,1,02/2020-21
palasia,1,01/2019-20
bhanpura distt. mandsour,2,"28/2018-19, 22/2018-19"
shed work for record keeping at new sp office building ratlam,1,SP/Rtm/RI/2052/2022
additional items on rent for 2nd stage poilce bharti pariksha 2024,1,QM/B/4472/24
construction of police chowki raigao distt satna,1,12/2019-20
construction of 2 f,2,"14 / 2018-19, 21/2020-21 2F,2G,2H Sihora"
repairing work at thana kotwali district sehore,1,01/2024-25
paver block civil work,1,DCP/IND/HQ/RI/668
construction work of boundary wall with chain link at police thana bahri distt sidhi,1,05/2022-23
ti residence at balaghat,1,01/2021-22
infrastructure development,3,"17/2020-21, 13/2020-21/1, 18/2020-21"
20 const. qtrs. ( qtrs. no. 1/ 20 to 20/ 20 ) residential colony at drp line balaghat.,1,19 / 2020-21
let bath with profile sheet flase celling at camp mandwa,1,03/2024-25
construction of mahila desk for fir at thana burhar,1,03/2019-20/3
kachaliya distt. sanwer,1,11/2021-22
construction of 96 constable quarters behind lal pared ground,1,70/218-19
maintennace of rooms,1,SP/Ujjain/RI/88/2024
#NAME?,1,11/2023-24
result for lat/ bath repair at cricket ground nehru nagar,1,159/25
construction of semi urban thana sesaipura distt sheopur,1,26/2019-20
reparing work 2,1,08/2019-20
street light work in sanction of additional work ( from saving ) at 36th i. r. batalion,1,04 / 2023-24
police line,16,"06/2019-20-2, 84B, 29/2018-19, 06/2019-20-8, 09/2024-25, 35/2018-19, 85B, 06/2019-20-4, 11/2019-20-3, 83B, 11/2019-20-6, 06/2019-20-3, 10/2019-20-1, 16/2019-20-1, NIT 10/2020-21_1, 11/2019-20-1"
construction of wc toilet near parade ground at 1st battalion s. a. f. indore,1,1stbn/QM/P-1274
construction of mahila desk at thana gotegoan distt narsinghpur,1,20/2018-19/6
rajpur distt. badwani,2,"30/2018-19, 11/2019-20-4"
renovation work at government college,1,02/2021-22
13 types of accessories antenna,1,D-14478 DT. 28-10-2024
second work new construction work of child friendly room in mahila thana ( 3 meter x 3 meter ) distt. panna m. p.,1,3019
constuction of office of home guard dist rewa,1,08/2019-20
sewar line work for 52 residential qtrs. at police line balaghat.,1,11 / 2021 - 22
professional led display,1,SB/STORE/2019-25(332) BHOPAL DT 14.10.19
shamgarh distt. mandsaur ( 1x200 kva transformer 11/ 0. 4 33kv with ht line ),1,NIT 31/2022-23_1
construction of 2f 4g 4h type qtrs health department badarwas dist shivpuri balance work,1,17/2021-22
construction of govt. primary school guljhaara ( distt.- dhar ),1,20/2024-25/12
construction of 50 bedded civil hospital including approach road,2,"13/2022-23, 02/2022-23"
devlopment work of park at police line nehrunagar bhopal,1,255/25
renovation work at learning centre barrack at drp line sagar,1,11/2023-24
chamber,1,31 / 2024-25
animal husbandry college campus mhow distt. indore,1,7/2022-23
bijalpur,2,"01/2024-25, 10/2022-23"
bargi,1,19/2018-19_4
result for deep freezer,1,PHQ/15/GPC/6416-4/2024
government model higher secondary school gorihar.,1,12/2021-22
construction of pre- matric girls hostel civil line jabalpur,1,08/2021-22
renovation work ghss gadolajagir khurai sagar,1,03/2023-24
paver block works at r. f. s. l.,1,04/2025-26/5
analysis equipment for digital media,1,SCPH/STORE/D683/2021
filling work at police chowkiheliodorus dholkhedi vidisha,1,03/2023-24
garage at divisional commandant office,1,10/2024-25/02
construction of guard room at 08 btn. chhindwara,1,01/2025-26
result for constriction of 02 no additional room ground floor at high school gwaltoli dist narmadapuram,1,02/2025-26
ballistic briefcase,2,"SB/STORE/2024-25(22) BHOPAL DATED 19.01.2024, SB/STORE/2024-25 (205) BHOPAL DATED 19.06.2024"
led search light small,1,SB/STORE/2019-25(332) BHOPAL DT 14.10.19
24 constable qrts,1,NIT 15/2020-21_2
development work stp horticulture ho bhopal,1,23/2021-22
drain construction pts campus,1,19/2020-21
desktop,1,1231-A/01-07-2024
rebrouning hall at police line rajgarh ( m. p. ),1,09/2022-23
electricity fitting at s. a. f. barrack behind control room,1,11/2019-20-4
rapid dna profiling machine ( bench top instrument for fragment analysis direct for sample based on capillary electrophoresis ),1,PHQ/15/GPC/2558-1/24
12 qtrs thana chhipawad dist harda,1,04/2025-26
construction of mahila desk ( fir room ) sirmour dist rewa,1,16/18-19
hostel,1,02 / 2021-22
construction of semi urban thana ater distt bhind,1,06/2021-22
plumbing work of barrack 1,1,SP/Ujjain/RI/3410/2023
tender for construction of water tank,1,1112-A/2024
construction of police officers mess at police line parisar balaghat,1,15 / 2019-20
repairing work of residential building- 6th bn saf ranjhi jabalpur,1,QM/B/3217
2- construction of indore cricket pich at shri mant madhavrao scindhia khal parisar distt shivpuri. ( balance work ),1,22/2022-23
upgradation work of government multipurpose excellence higher secondary school no. 1 at distt. morena,1,17/2020-21
05/ 2023- 24,1,05/2023-24
drp line khargone,1,15/2018-19
reparing,8,"03/2023-24, 06/2021-22, 05/2019-20, 01/2022-23, 07/2020-21, 01/2024-25, 08/2024-25, 15/2023-24"
perform work as per the scope of work for5 ( five ) years ( subject to annual review ).,1,07/2021-22
construction of male female toilet at thana tharet,1,01/2024-25 Date 29-11-2024
24 constable qtrs. at thana lanji,1,11 / 2021 - 22
magzine pouch,1,HAWK FORCE/QM/D-621/2020/BALAGHAT DATED 15-12-2020
96 con qtrs at village naudiya distt sidhi,1,02/2021-22
food supply contract,1,1535
32,1,4004/24
construction of semi urban thana dehat distt sheopur,1,06/2020-21
construction of semi urban thana building pohri shivpuri,1,01/2020-21
26,1,SP(R)/REWA/DISPO/337/2020 DATE-27/08/2020
at police line,1,NIT 08/2020-21_3
tent material rental,1,DCP/HQ/RI/TENDER/05/23
outdoor stadium ganjbasoda vidisha,1,04/2022-23
karahal distt- sheopur,1,12/2020-21
infrastructure upgradation work at government excellence higher secondary school niwari,1,12/2021-22
mahesh gard line safai,1,mahesh gard saf safai 862
distt.- umaria,6,"14/2020-21 20 Seater Barrack at Tala, 15/2020-21 Traffic Thana Umaria, 16/2019-20 Tala, 03/2019-20/5, 08/2022-23 Govt.Higher Secondary School Bannauda, 20/2018-19_14"
purification etc. ),2,"PHQ/15/GPC/4092-1/2022, PHQ/15/GPC/4649-12/2021"
semi urban thana digoda tikamgarh,1,09/2019-20
work of 11 k. v. line shifting at govt. higher secondary school,2,"36/2022-23, 35/2022-23"
installation 03 nos. 100 k. v. a. 415 volt diesel generator set with a. m. f. panel,2,"10/2021-22, 13/2021-22"
144 high rise qtrs at police line chindwara,1,18/2023-24 Electrical C.M. Rise Chindwara
construction of store for disaster management material,1,NIT 08/2023-24_1
control room,2,"03/2024-25, 24/2021-22/3"
construction of 1 no. barrack with profile sheet,1,3589/2021
repairing work at thana shyampur district sehore,1,01/2024-25
pick- up item 9th bn saf rewa,1,M-6966/2024-25
six other places raisen,1,50/2018-19
paver block behind cc tv control room,1,01/2024-25/5
special repairing work at thana akodiya shajapur,1,18/2022-23
external electrification work of cm rise govt. girls higher secondary school,1,11/2024-25
videowall for scrb conference hall,1,PHQ/SCRB/MOD/340/19 Date 25/01/2019
comprehensive annual maintenance,1,M524/22-01-2021
4h type qtrs. khalwa distt. khandwa,1,03/2020-21/1
led torch,1,SB/STORE/2022-25 (375) BHOPAL DATED 28.12.2022
16 ngo sever line,1,08/2020-21
construction of boundary wall of new girls hostel,1,NIT 18/2023-24_1
repairing upgradation work of mahila hockey academy girls hostel gwalior,1,21/2021-22
e- tender for cleaning work,2,"SCPH/ORDER/D-236/2024, SCPH/STORE/D-47/2023"
212 ( k to ch ),1,13/2020-21
construction of child friendly room at control room ashoknagar,1,07/2025-26
labour charges.,2,"QM/M/4250/2020, QM/208/2019"
construction of chowkey ranital chhatarpur,1,21/2019-20
construction of boundary wall fancing at khel parisar kanawti,1,NIT 09/2023-24_1
barack khatiya mandla,1,1336/2023
laudanry room repairing,1,"1556/23.05.2023 subedar office,nai room, bend room"
construction of mini stadium jesinagar sagar,1,07/2020-21
renovation room ptri bhopal,1,03/2023-24
general repair works at police department,6,"SP_BPR_2028_10.12.2024, SP_BPR_1745_26.10.24, SP_BPR_1744_26.10.24, SP_BPR_2026_10.12.2024, SP_BPR_2027_10.12.2024, SP_BPR_1743_26.10.24"
external electrification work for 12 ngo 48 constable qtrs hoshangabad,1,11/2021-22
renovation of shed telcom bhopal,1,47/2018-19
renovatation work at thana sultanganj devri udaypura,1,03/2025-26
1 repairing,1,15/2020-21
construction of barrack at dolariya thana hoshangabad,1,25/2018-19
boys hostel at govt excellence school tamiya distt chhindwara,1,01/2023-24
construction of semi uraban thana harda,1,22/2018-19
72 9th battalion rewa,1,25/2018-19
construction of separate room toilet for ladies fir room at thana kotwali distt datia,1,11/2019-20
bath,2,"22/2018-19, 05/2019-20/2"
construction of 06f 08g,1,1/2020-21
5 nos cabin at fourth floor admin. branch phq bhopal,1,41/2024-25
supply of dry grass for horses at jhabua,1,MTD/58-B/2023 dated 21-04-2023
dvr examination for cctv,1,SCPH/STORE/D-637/2020
diesel generator set 1000 kva,1,"SB/STORE/2019-25(408)BHOPAL,DT 09-12-19"
renovation work in different police offices,1,07/2024-25
roof at sp office,1,04/2025-26 (6) Latbath and Roof
model school jawad distt. neemuch,1,NIT 22/2021-22_5
barseen ( green grass ),1,6bn/saf/jbp/mtd/e tender/a/2517/21
construction of police chowki at sihgrampur distt- damoh.,1,26/2023-24
bilpank,2,"28/2018-19, 20/2018-19"
construction of separate room toilet for ladies fir room at thana enderghad distt datia,1,11/2019-20
construction of sump well with motor pump at 6 bn. s. a. f. ranjhi,1,05/2022-23
construction of semi urban thana at bordehi,1,28/2019-19
mantinance work of old thana kurwai,1,01/2024-25
renovation of shed gopalan board bhopal,1,03/2023-24
borwell/ submersible pump at camp topla,1,02/2023-24
vrla batteries,1,F-934-B/2020 Dt-03/01/2020
model school garoth,1,NIT 22/2021-22_4
construction of semi urban thana amayan distt bhind,1,26/2019-20
repairing work office,1,1335/2023
false ceiling etc ) at state men hockey academy crc sports premises bhopal,1,06/2022-23
puf wall work newly constructed teen shed at sp office jhabua,1,05/2025-26/5
construction of ajk thana at burhanpur,1,13/2022-23
supply,9,"03/2021-22, Supply and Commissing (Electrical Work), SP/HQ/IND/HC/CONT/495081-B/19, PTHQ/Purchase/F-145-C/2019, D-1067/24 Date 17/01/2024, 01/2019-20, D-3967/25 Date 07-03-2025, 32BN/SAF/QM/M3461, 35/2024-25"
repairing work ngo,1,02/2024-25/3
construction of urban thana at hoshangabad,1,28/2019-19
result for supply of general,1,49/2023
h. s. school madana,1,NIT 22/2021-22_2
construction of stp with moter pump at 24 96 qtrs at 5bn distt. morena 100 kld,1,10/2021-22
maintenance work for govt. model h. s. school harsud dist. khandwa,1,1/2022-23/1
smart phone ( android ),1,"SB/STORE/2020-25 (349), BHOPAL DATED 17-8-2020"
construction of boundrywall for garden at drp line burhanpur,1,11/2018-19
2 nos bolero,1,03/2020-21
etc. which received from dismantling of old- cumdum buildings in the campus of cm rise school,2,"12/2024-25, 04/2024-25"
male washroom officers mess bhopal,1,02/2019-20
construction of stp with moter pump at 12 48 24 48 qtrs at drp line distt morena 100 kld,1,18/2019-20
boundary wall plank work phq bhopal,1,25/2019-20
sewar line reapiring work ( part- 1,1,22/2022-23 Katni Reparing
repair work internal sanitary water supply police qrs 06 h type,1,10/2021-22
shed work in store barrack home guard darikhana jabalpur,1,30/2023-24 Shed Home Guard jabalpur
petlawad distt. jhabua,1,NIT 10/2020-21_4
construction of navin police thana bhawan,1,NIT 28/2024-25_5
late bath with profile sheet,3,"03/2025-26, 02/2025-26, 31 / 2024-25"
district mandla.,3,"16/2020-21, 01/2021-22, 14/2020-21"
external electrification work 24 96 tikamgarh,1,002/2022-23
construction of police chowkey barkheda raisen,1,15/2020-21
construction of mahila desk at thana kotwali chhindwara,1,20/2018-19
construction of chowkey ramtoriya chhatarpur,1,21/2019-20
grp ratlam,1,NIT 19/2020-21_4
pumps at 48 qrts. drp line,1,04/2019-20-2
high end server,1,SB/STORE/2021-25(141) BHOPAL DATED 17-3-2021
extension,4,"01/2022-23, 13/2022-23, 02/2022-33, 02/2022-23"
ladder,1,46/2024-25
semi urban thana saleh panna,1,09/2019-20
various construction,1,NIT 24/2024-25_1
c 21 mit police colony house repairing,1,3306/23.10.2024 C 21 MIT POLICE COLONY house REPAIRING
extenal electrification work 24ngo,1,18/2018-19
